Artist Name,Song Name,Sum Lyrics
Ed Sheeran,Legacy,"""I used to be the type of kid that would always think the sky is falling Why am I so differently wired? Am I a martian? What kind of twisted experiment am I involved in?"" ""If you fall I'll get you there I'll be your savior from all the wars that are fought Inside your world Please have faith in my words"""
Ed Sheeran,Still Don't Give A Fuck,A lot of people think that I worship the Devil That I do all types of retarded shit. I'm zonin' off of one joint stoppin' the limo Hopped in the window shoppin' a demo at gunpoint. My brain's gone my soul's worn my spirit is torn The rest of my body's still bein' operated on. I wanted an album so rugged nobody could touch it Spent a million a track and went over my budget.
Ed Sheeran,Asshole,"""I'm the biggest jerk on the planet Earth. I smacked a girl Off the mechanical bull at a tractor pull For thinkin' we had some magnetic pull Then screamed ICP in this bitch!"" ""I was countin' on you to count me out Ask Asher Roth when he round about dissed me to shout me out Thought I was history well goddamn honky that compliment's like back-handin' a donkey good way to get your ass socked in the mouth"" ""There's no place you can hide you are just an asshole"""
Ed Sheeran,Cum On Everybody,"""This is my dance song can you hear me? (Outsiderz) (Rah Digga Young Zee bust it bust it) Alright ayy turn my headphones up  My favorite color is red like the bloodshed From Kurt Cobain's head when he shot himself dead Women all grabbin' at my shish kabab Bought Lauryn Hill's tape so her kids could starve (I can't stand white people) You thought I was ill and now I'm even more so"""
Ed Sheeran,W.T.P.,"""White trash party"" is a song by rapper Drake. The song was released on August 1, 2013. The track is a collection of songs with lyrics written by Drake. ""White trash"" is one of Drake's most popular songs."
Ed Sheeran,Beautiful,"Eminem's new single, ""Rock Therapy,"" is out now. The rapper has been struggling with depression. He says he's been too long on his own and needs a new outlet. The song is about reaching out to people who are in similar situations."
Ed Sheeran,Medicine Ball,"""Slim Shady Mecca"" is a song written and performed by New York City rapper Rebecca. The song is a parody of Eminem's hit song ""Eminem"" ""I won't rape all the Pussycat Dolls? Nicole you kidding?  I'll pee on Rihanna See man I do what I wanna Spray perfume in the sauna room Crazy-gluing Madonna To the La-Z-Boy sofa"""
Ed Sheeran,My Mom,"Nathanial Storms sings about his mom's drug habit. Storms says he's like his mom: ""I'm on what I'm on 'cause I'm my mom"" He says his mom used to put Valium in everything he ate and drank. The song is called ""My Valium My Vaa-liummmm"""
Ed Sheeran,So Far...,I own a mansion but live in a house A king-size bed but I sleep on the couch I'm Mister Bright Side glass is half-full But my tank's half empty gasket just blew  This always happens Thirty minutes from home gotta lay a log cabin only option I have's McDonald's' bathroom In a public stall droppin' a football so every time someone walks in the John I get Maddened Shady.
Ed Sheeran,Yellow Brick Road,"""Journey with me as I take you through this nifty little place That I once used to call home sweet home"" ""I'd roam the streets so much they'd call me a drifter Sometimes I'd stick up a thumb just to hitchhike"" ""We don't fit in crackers is out with Cactus albums"""
Ed Sheeran,When I'm Gone,"""When I'm gone just carry on don't mourn"" ""I keep having this dream I'm pushin' Hailie on the swing"" ""Sixty thousand people all jumping out their seat"" ""Put it to my brain and scream it The cockens my life"""
Ed Sheeran,Rhyme Or Reason,(What's your name?) Marshall (Who's your daddy?) I don't have one My mother reproduced like the Komodo Dragon And had me on the back of a motorcycle Then crashed in the side of locomotive with rap I'm loco It's like handing a psycho a loaded handgun Michelangelo with a paint gun in a tantrum About to explode all over the canvas Back with the Yoda of rap in a spasm.
Ed Sheeran,My Fault,I went to John's rave with Ron and Dave And met a new wave blonde babe with half of her head shaved A nurse aid who came to get laid and tied up With first aid tape and raped on the first date (Ooh) I said Wait first try this hallucinogen It's better than heroin Henn the booze and the gin C'mere let's go in here who's in the den? It's me and Kelly! My bad (Sorry) Let's try another room I don't trust you Shut up slut chew up this mushroom This'll help you get in touch with your roots
Ed Sheeran,Hello,Hello Allow me to introduce myself My name is Shady It's so nice to meet you It's been a long time I'm sorry I've been away so long. You see that chick in the gym checking me out? Any second I'm 'bout To stick her neck in my mouth I lose a pill and I'm recklessly wrecking the house.
Ed Sheeran,Underground,A lot of people ask me Where the fuck I've been at the last few years Shit I don't know But I do know I'm back now Haha. I'm underground  Six semen samples seventeen strands of hair Found in the back of a van after the shoot with Vanity Fair Hannah Montana prepare to elope with a can opener.
Ed Sheeran,Hell Breaks Loose,I want the fans jumping I want the fists pumping in the air I don't look like a millionaire But I feel like a million bucks ladies won't ya fill your cups? Shady's come to feel ya up are you a D or a C cup? You could even be a B it's just me and D-R-E You'll be in the ER we are strapped with so much TNT We may blow no not even CPR from the EMTs Could help you to resuscitate you busters must be flustered wait You can't cut the mustard.
Ed Sheeran,Stan,"Eminem as Stan: ""My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window and I can't see at all And even if I could it'd all be gray but your picture on my wall"" ""I'm sorry I had a friend kill himself over some bitch who didn't want him"" ""My girlfriend's jealous 'cause I talk about you 24/7 But she don't know you like"""
Ed Sheeran,Cleanin Out My Closet,"Eminem's new album, ""The Marshall Mathers LP 2,"" is out now. The rapper has been protested and demonstrated against for his rhymes. ""I got some skeletons in my closet And I don't know if no one knows it,"" he says."
Ed Sheeran,We As Americans,There's an intruder in my house He cut my phone line: can't dial out (Shit!) I scream for police but I doubt They're gonna hear me when I shout  A couple of cocktails'll send me to jail There's a couple of cops hot on my trail but this time When I get pulled over there's a Doberman Pinscher And a pit bull in the seat these pigs'll get bit. We are Samaritans what do we get us in? We better check ourselves look at how shit has been Take a look where you live this is America and we are Americans.
Ed Sheeran,Almost Famous,"""I stuck my dick in this game like a rapist. I go berserker than a fed-up post-office worker I murk her with a Mossberg"" ""This may be the last chance I get to be famous (I just wanna be famous)  You dream of trading places I have been changing faces You cannot fill these shoes There is too much to lose"""
Ed Sheeran,Just Lose It,"""Shady's back"" is a new rap album by rapper Dr Dre. The song is full of references to child molestation allegations. ""I'm just psycho I go a little bit crazy sometimes,"" the rapper says. ""It's Friday and it's my day Just to party all the way to Sunday"""
Ed Sheeran,Trapped,Big Proof rest in peace dudey we love you We just wanna keep making you proud heh  My life is trapped in these lines That's why I'm packing these nines I gotta rap I ain't dyin' That's in the back of my mind Got a strap made of iron Can't relax on this grind Bending over backwards for these slackers 'Til I'm snapping my spine Natural high...I gotta focus On these bogus poachers Looking over my shoulder Proof get it popping like soda hold up  We nothing but soldiers!!! Slow up! This gun is loaded!!! Roll up! They beef and we leaving 'em coked up!!!  If Em say it I spray it If he will it I kill it We Kilpatrick and ill it Yo Detroit know I can feel it Real as this gun on my waistline At war we don't waste time Blow up magic can't take a punch And fifty can take 9 brah We got Schoolcraft here at the seven-eight and Dexter I'm up in Hollis spending dollars ain't feeling no pressure Yes sir ya texta' is bitch Bet you you flinch when Proof shoot up that coup And wet your whole clique
Ed Sheeran,When The Music Stops,Eminem: 'If I were to die murdered in cold blood tomorrow would you feel sorrow or show love? Or would it matter? Could never be the lead-off batter If there ain't shit for me to feed off I'm see-saw battlin' There's too much on my plate I done came way too far in this game to turn and walk away And not say what I got to say'
Ed Sheeran,Drug Ballad,This is my love song...it goes like this  Back when Mark Wahlberg was Marky Mark (fuckin' faggot) This is how we used to make the party start We used to mix Hen' with Bacardi Dark. By the sixth gin you're gon' probably crawl and you'll probably barf.
Ed Sheeran,My Dad's Gone Crazy,"Eminem: ""There's no mountain I can't climb"" Hailie: ""My dad's lost it"" Eminem: ""I'm going to Hell who's comin' with me?"" ""I'd rather be a pussy-whipped bitch eat pussy"""
Ed Sheeran,Desperation,Girl you give me writer's block I'm at a loss for words uhh My mind's as lost as yours I rack my brain but still no thoughts emerge Never seen no ass as large as yours How much that cost? That's what I call the cost to splurge You drive me bonkers I’m about to get my swerve on for sure.
Ed Sheeran,Bad Guy,"""I just hate to be the bad guy (Follow me I ruh-uh-un; follow me IRuh- uh-un) I've been driving around your side of this town Like 9 frickin' hours and 45 minutes now Finally I found your new address park in your drive"" ""I'm coming for closure Don't suppose an explanation I'm owed for The way that you turned your back on me Just when I may have needed you most"""
Ed Sheeran,Sing For The Moment,"""These ideas are nightmares to white parents"" ""I guess words are a motherfucker they can be great Or they can degrade or even worse they can teach hate"" ""They say music can alter moods and talk to you"" ""Can it load a gun up for you and cock it too?"""
Ed Sheeran,Puke,There I go thinking of you again  You don't know how sick you make me You make me fucking sick to my stomach Every time I think of you I puke You must just not know You may not think you do but you do. I was gonna take the time to sit down and write you a little poem But off of the dome would probably be a little more More suitable for this type of song.
