,Name,Album,Link
1,Mem Vayasuku Vacham,Vellipove Vellipove,https://youtu.be/wAFetxbjsxA?si=GuiY_vCniUTLpAkd
2,Rowdy Boys,Break Up,https://youtu.be/HALMXt4_OiI?si=Rn7wq2lk_J2ACGHd
3,Raju Bhai,Gucchi Gucchi,https://youtu.be/BWcRPb2055I?si=xU-52de-DYJORSkK
4,Current Theega,Devadasu�,https://youtu.be/TezkEKUo0e0?si=Z_cspOlnd9fQ6omg
5,Nenu Sailaja,Sailaja Sailaja,https://youtu.be/hgpNla8AkIQ?si=iIAMn6qmo1Mf2JyD
6,Chitralahari,Prema Vennela,https://youtu.be/tpvNtKjlf5E?si=o5o-jAOrY2GcX6bJ
7,Solo Brathuke So Better,Hey Idi Nenena,https://youtu.be/AmGn686QCI0?si=VKfrMSR1dWRzGKzQ
8,Happy,Nee Kosam,https://youtu.be/XF_dgkHEkn4?si=EtXhpGjKfBLzlyTD
9,Theevandi,Jeevamshamayi,https://youtu.be/nRdSOFkBNsQ?si=KjraW25Qpwt9Mfij
10,Bhadra,O Manasa,https://youtu.be/9IWywo8zE0M?si=qPKJ8zgT2hRIcSTp
11,Vaaranam Aayiram,Ava Enna,https://youtu.be/5yjy7djTUDc?si=qmnWn8En84qQHeUn
12,7G Rainbow Colony,Kan Pesum Varthaigal,https://youtu.be/uzvP_uUVtNw?si=ZRWZRooAXx7AGde-
13,Kaduva,Pala Palli,https://youtu.be/At-rmGGn7cg?si=XpDqTTk1l0ZROlt6
14,Sulaikha Manzil,JIL JIL JIL,https://youtu.be/C7rJZjB6u7w?si=j8-ym1kJowIjxsWM
15,A Aa,Yellipoke Syamala,https://youtu.be/rXLITe5KoAs?si=XuYPEgJQjDRVX7pk
16,Maine Pyar Kiya,Dil Deewana,https://youtu.be/MM5R6Ba0zQU?si=MEg4EjYO2yu8xXdC
17,Love,Saathiya Tune Kya Kiya,https://youtu.be/MZKZsYk2jJg?si=x5qxkdReNcnbyVCL
18,Dreams,Manimuttathavani,https://youtu.be/YwGIrqjihMw?si=9KGkpcsRiONFWKQF
19,Venaam Machan,Oru Kal Oru Kannadi,https://youtu.be/Q_RiJmvmcyQ?si=DusL407s1G2HHWOY
20,Naan Sirithal,Breakup,https://youtu.be/lxROTQJEB58?si=mcZCaz8-IHnLmnCa
21,Mayakkam Enna,Kadhal En Kadhal,https://youtu.be/5lzn95_gD3w?si=uuUsGSnSR_HhPN8v
22,Shaadi Mein Zaroor Aana,Mera Intkam,https://youtu.be/BiVyN2ftrrs?si=XTD3xxAlmXHDN_mR
23,Agneepath,Abhi Mujh Mein,https://youtu.be/oWKgpB2zpgw?si=9_8RROgQMHgf4LOu
24,Veere Di Wedding,Tareefan,https://youtu.be/3SWc5G8Gx7E?si=avohGZQZqktjeX_4
25,Ahimsa,Neethoney Neethoney,https://youtu.be/FjkMRpEtUgY?si=pVb35OfKQvZ6sQ1L
26,Tamasha,Agar Tum Saath Ho,https://youtu.be/sK7riqg2mr4?si=ua_K6aHOdmkGABko
27,ADHM,Channa Mereya,https://youtu.be/284Ov7ysmfA?si=zbW16eGTo-z9gV-f
28,Ohm Shanthi Oshaana,Kattu Mooliyo,https://youtu.be/Qs2ta9_CaKM?si=QvjjHSuUpns0Y09W
29,Jacobinte Swargarajyam,Thiruvaavaniraavu,https://youtu.be/VrrnflVEiMg?si=0sCtf54qdDeEg_hC
30,Bhaskar the Rascal,Pularoli,https://youtu.be/7dLUzfLFq4s?si=O5QNy7TRRbnPb6US
