,Name,Album,Link
0,Appudo Ippudo Eppudo,Bommarillu,https://www.youtube.com/watch?v=O-yRLOWSgEM
1,Avalukena,Anirudh Valentine's Day Single,https://www.youtube.com/watch?v=DKXO08CeFjQ
2,Ee Maya Peremito,Ee Maya Peremito,https://www.youtube.com/watch?v=WrncTw1fUCI
3,Enna Solla,Thanga Magan,https://www.youtube.com/watch?v=2P_0Q8CIjw8
4,Ennai Maatrum Kadhale,Naanum Rowdy Dhaan,https://www.youtube.com/watch?v=-mg_zzM-6eU
5,High On Love,Pyaar Prema Kaadhal,https://www.youtube.com/watch?v=IGI4jnKn6IU
6,Inkem Inkem Inkem Kaavaale,Geetha Govindam,https://www.youtube.com/watch?v=cC8AmhPUJPA
7,Inthena Inthena,Suryakantam,https://www.youtube.com/watch?v=W3vXZM1x7lA
8,Kaadhal Theevey,Dharala Prabhu,https://www.youtube.com/watch?v=NGkEwWewgmY
9,Idhedho Bagundhe Cheli,Mirchi,https://www.youtube.com/watch?v=QL-I0SSjZO0
10,Entha chitram,Ante sundaraniki,https://www.youtube.com/watch?v=pOmPTwA3fsU
11,Kannamma,Ispade Rajavum Idhaya Raniyum,https://www.youtube.com/watch?v=_fTN72GPgIU
12,Maate Vinadhuga,Taxiwaala,https://www.youtube.com/watch?v=KMocA8G_puU
13,Mannipaaya,Vinnaithaandi Varuvaayaa,https://www.youtube.com/watch?v=EjUP08N89mI
14,Maruvaarthai,Pakkiri,https://www.youtube.com/watch?v=rpIlP6pI8fo
15,Maruvaarthai Pesathey,Enai Noki Paayum Thota,https://www.youtube.com/watch?v=U3lyojCm6jA
16,Mazhai Kuruvi,Chekka Chivantha Vaanam,https://www.youtube.com/watch?v=bt4-FwVe1Fk
17,Nalla Nanbane,Nanban,https://www.youtube.com/watch?v=dqL8aJcN2FU
18,Nee Kannu Neeli Samudram,Uppena,https://www.youtube.com/watch?v=zZl7vDDN8Ek
19,Nee Sirithal Naan Sirippen,Aadai,https://www.youtube.com/watch?v=3qMa9mM9IDc
20,Neeli Neeli Aakasam,30 Rojullo Preminchadam Ela,https://www.youtube.com/watch?v=0nRazWwoUbY
21,Neethanae,Mersal,https://www.youtube.com/watch?v=jCafZht8yMA
22,Po Urave,Neram,https://www.youtube.com/watch?v=JdVPh0vu2zI
23,Thendral Vanthu Theendum Pothu,Avatharam,https://www.youtube.com/watch?v=GrTxNulH6Gc
24,Usure Pogudhey,Raavanan,https://www.youtube.com/watch?v=yCKO5KUDcVs
25,Vaanam Kottattum,Vaanam Kottattum,https://www.youtube.com/watch?v=DoUMcM9yHJs
26,Vaanil Irul,Nerkonda Paarvai,https://www.youtube.com/watch?v=dwm_ThnOD94
27,Yaarumillaa,Kaatru Veliyidai,https://www.youtube.com/watch?v=7nIZ5hLru80
28,Ye Manishike Majiliyo,Majili,https://www.youtube.com/watch?v=bOJqTkeW5lA
29,Yevevo,Genius,https://www.youtube.com/watch?v=uRwm6VDetDI
