,Name,Album,Link
0,Kalalonaina,Kalyan Vaibhogame,https://www.youtube.com/watch?v=sa7mSK7w4xQ
1,Em Sandeham Ledu,Oohalu Gusagusalade,https://www.youtube.com/watch?v=3CGx-01FAPI
2,Nee Dookudu,Arya 2,https://www.youtube.com/watch?v=2M7UZa3Zvxc
3,Vellipomaakey,Saahasam Swaasaga Saagipo,https://www.youtube.com/watch?v=L-95hO-u7aI
4,Amrutha,Vaana,https://www.youtube.com/watch?v=n8IK0rHd61A
5,Kanulu Navainaa,ISM,https://www.youtube.com/watch?v=-eyweG-qDFY
6,Yevevo Kalale,Krishnagadi Veera Prema Gaadha,https://www.youtube.com/watch?v=kYjqPSTrxi4
7,Nuvvante Na Navvu,Krishnagadi Veera Prema Gaadha,https://www.youtube.com/watch?v=0leZh4iMLIg
8,Inthalo Ennenni Vinthalo,Snehithuda,https://www.youtube.com/watch?v=1W8le4pYsao
9,Neeli Neeli Aakasam,30 Rojullo Preminchadam Ela,https://www.youtube.com/watch?v=kZm5lkQHRrI
10,Yaayum,Independent Shabir Sulthan,https://www.youtube.com/watch?v=UH0haOwkf3Q
11,Adiye,Bachelor,https://www.youtube.com/watch?v=2NrpwkyoTrI
12,Vaan Varuvaan,Kaattru Veliyidai,https://www.youtube.com/watch?v=9eFTlSgdTxU
13,Narumugaye,Iruvar,https://www.youtube.com/watch?v=b7k70C5JHlg
14,Kadal Raasa Naan,Maryan,https://www.youtube.com/watch?v=TCAiTW6BnuQ
15,Ennodu Nee Irundhaal,I,https://www.youtube.com/watch?v=VtOGDqn5H80
16,Kaadhal Sadugudu,Alaipayuthey,https://www.youtube.com/watch?v=UMR6V1oD-jU
17,Nee Partha Vizhigal,3,https://www.youtube.com/watch?v=5Bw7QQsp6F4
18,Munbe Vaa,Sillunu Oru Kaadhal,https://www.youtube.com/watch?v=_3d6dRj3rBg
19,Anbe Anbe,Ji,https://www.youtube.com/watch?v=w6tjG3QymI4
20,Kanave Kanave,David,https://www.youtube.com/watch?v=4dvpjt_NZJ4
21,Avalukena,Anirudh Valentine's Day Single,https://www.youtube.com/watch?v=lVJ8HQIQih4
22,Nee Paartha Vizhigal,3,https://www.youtube.com/watch?v=ME27oJL8Pxc
23,Yaen Ennai Pirindhaai,Adithya Varma,https://www.youtube.com/watch?v=j-ndjwXUfwI
24,Visiri,Enai Noki Paayum Thota,https://www.youtube.com/watch?v=LXl4hI5-WLI
25,Uyire,Uyire,https://www.youtube.com/watch?v=bF3_5bNpTl8
26,Un Per Solla,Athithi,https://www.youtube.com/watch?v=XoVXoFW7RBo
27,Munbe Vaa (Violin Theme),Sillunu Oru Kaadhal,https://www.youtube.com/watch?v=wFJTcnXdaAQ
28,Yaaro,Ivan Thanthiran,https://www.youtube.com/watch?v=hCP3Q0ugbC0
29,Kalvare,Iruvar,https://www.youtube.com/watch?v=wJFSd_8up0M
30,Manasuna Edho Raagam,Love Failure,https://www.youtube.com/watch?v=4HEkZypaKl4
31,Naan Unnaiye Virumbugiren,Virumbugiren,https://www.youtube.com/watch?v=QXsWW2VyBAI
32,Uyire,Uyire,https://www.youtube.com/watch?v=bF3_5bNpTl8
33,Naa Gundello,Kalyana Vaibhogame,https://www.youtube.com/watch?v=WQ7wdoFFo5E
34,Ennavale Adi Ennavale,Kadhalan,https://www.youtube.com/watch?v=rZvhOxBWb0E
35,Kalvare,Iruvar,https://www.youtube.com/watch?v=wJFSd_8up0M
36,Arima Arima,Enthiran,https://www.youtube.com/watch?v=ZmLyPvQhl_I
37,Aadhaaram,Kadali,https://www.youtube.com/watch?v=54bP3R-SxjE
38,Kaadhal Anukkal,Enthiran,https://www.youtube.com/watch?v=2j2rsEjQ1E8
39,Neelakashamlo,Mukunda,https://www.youtube.com/watch?v=RVFKD91-p4I
40,Kallumoosi,Yevade Subramanyam,https://www.youtube.com/watch?v=f4tFfCHpvw4
41,Nijamga Idi Nenenaa,Ra Ra Krishnayya,https://www.youtube.com/watch?v=L3ebCHP6l2M
42,Nuvvunte Naa Jathagaa,I,https://www.youtube.com/watch?v=JFgTAUq0r5Y
43,Marachipo Nesthama,Lover,https://www.youtube.com/watch?v=HMeXPIuFy80
44,Andala Chandamama,Tej I Love You,https://www.youtube.com/watch?v=BccR3zRyDfM
45,Mazhai Kuruvi,Chekka Chivantha Vaanam,https://www.youtube.com/watch?v=3bNFz5z_P00
46,Vaanil Irul,Nerkonda Paarvai,https://www.youtube.com/watch?v=dd3Q1QqTFIU
47,En Jeevan,Theri,https://www.youtube.com/watch?v=W_qjwN1y-mk
48,Idhayam Oru Koil,Kaththi,https://www.youtube.com/watch?v=tT9LSmyhFCs
49,Maruvaarthai Pesathey,Enai Noki Paayum Thota,https://www.youtube.com/watch?v=2sVkJMruUdY
