,Name,Album,Link
0,Rocky Rocky Ra,A1 Express,https://www.youtube.com/watch?v=LWs82-V_igE
1,Aadara,Majnu,https://www.youtube.com/watch?v=6B0ghFK82R0
2,Kaala Bhairava Ashtakam,Kesahava,https://www.youtube.com/watch?v=oPbrv_1aYrM
3,Swagatham Krishna,Agnyaathavaasi,https://www.youtube.com/watch?v=eFkXKxvkn6Y
4,Neelime Nee Korukunna,Pranaya Meenukalude Kadal Song,https://www.youtube.com/watch?v=q9ZoSh1s0nw
5,ButtaBomma,Ala Vaikunthapurramuloo,https://www.youtube.com/watch?v=2mDCVzruYzQ
6,Swathilo Muthyamantha,Bangaru Bullodu,https://www.youtube.com/watch?v=l4oWNX8_Ju0
7,Verithanam,Bigil,https://www.youtube.com/watch?v=rtd_VveAEaI
8,My Name Is Billa,Billa,https://www.youtube.com/watch?v=rWraoN3_sqc
9,Penne Naan,Charlie,https://www.youtube.com/watch?v=P8b6eoMu_Vo
10,Don Bosco,Amar Akbar Anthony,https://www.youtube.com/watch?v=iIokTXzbaP8
11,Top Lesi Poddi,Iddarammayilatho,https://www.youtube.com/watch?v=YAscOYMTgTs
12,Dimaak Kharaab,iSmart Shankar,https://www.youtube.com/watch?v=V5c4BnmPTpU
13,Rakita Rakita Rakita,Jagame Thandhiram,https://www.youtube.com/watch?v=5MFY3LO7r6M
14,Swing Zara,Jai Lava Kusa,https://www.youtube.com/watch?v=Y-J9s7_7yX4
15,Adhento Gaani Vunnapaatuga,Jersey,https://www.youtube.com/watch?v=-t5b7MrWENk
16,Manasu Maree,V movie,https://www.youtube.com/watch?v=Pal0uollc4E
17,Bombhaat,Lie,https://www.youtube.com/watch?v=0fS9yi_h5bc
18,Saranga Dariya,Love Story,https://www.youtube.com/watch?v=1ozmyl1ZEyY
19,ananaganaga,Magadheera,https://www.youtube.com/watch?v=NhxT43OAEP8
20,Vaathi Raid,Master,https://www.youtube.com/watch?v=eHoIUNY-bG4
21,Mersal,Mersal,https://www.youtube.com/watch?v=Wxqu1eVJ4Vs
22,Guche gulabi,Most Eligible Bachelor,https://www.youtube.com/watch?v=kusi4vzL5Po
23,Chal Chalo Chalo,S/O Satyamurthy,https://www.youtube.com/watch?v=ZhIyyO4JMnA
24,Marana Mass,Petta,https://www.youtube.com/watch?v=88iypMO9H7g
25,The Jawaani Song,Student Of The Year 2�,https://www.youtube.com/watch?v=y4a-eo-hNeg
26,Chiru Chiru Navvula�,Mr. Majnu,https://www.youtube.com/watch?v=BDKw1q2QsDg
27,The Breakup Song�,ae dil he mushkil,https://www.youtube.com/watch?v=kd5KqlmcHNo
28,Miami,Chal mohana Ranga,https://www.youtube.com/watch?v=24ZufDuggUM
29,Pilla picture Prefect,Ranarangam,https://www.youtube.com/watch?v=ieFdE7QvP-s
