,Name,Album,Link
1,ABCD 2,Vande Mataram,https://youtu.be/Ki4_Fc3XoSk?si=2wzi7rxzjolUjTx9
2,Asuran,Blood Bath,https://youtu.be/x7qwz_1TjLk?si=gpcRvvADCb-may8k
3,Baahubali,Nippule Swasaga,https://youtu.be/oGjYV6dix-o?si=G8aAF6nbwrG1p1pP
4,Beast,Beast Mode,https://youtu.be/Fyj5wbzRPC8?si=gVDXUZ0F1v9S341L
5,Bhagavanth Kesari,Roar of Kesari,https://youtu.be/nCYYlBDRZIc?si=AmlwYNnPmVzRfI3w
6,Brothers,Brothers Anthem,https://youtu.be/IjBAgWKW12Y?si=mjBKM3YcFIWlNJ4e
7,Chak De,Chak De India,https://youtu.be/bnqLzCsffwY?si=9p3K7V60iZkWngS7
8,Chatrapathi,Agni Skalana,https://youtu.be/NTfhqNcqo6A?si=BV5x2VAPZ1562w10
9,Gaddalakonda Ganesh,Waka Waka,https://youtu.be/INuLC2IVAEA?si=DkrQMSXm8nat1A54
10,Gully Boy,Apna Time Aayega,https://youtu.be/jFGKJBPFdUA?si=4ov0T-n5ywF16V5C
11,Jai Lava Kusa,Raavana,https://youtu.be/3jrzdyu3TQk?si=7KYk0HwmLFdmlj0A
12,Jailer,Hukum,https://youtu.be/1F3hm6MfR1k?si=fLbdJfwAL23Lxcyh
13,Kabali,Nippu Ra,https://youtu.be/if0g8P3doOQ?si=GQ_oPLj0MojiR4Yq
14,Kabali,Neruppu Da,https://youtu.be/LHaGDT6Pdbk?si=wE3bpVzr_dHqYk32
15,Vikram Vedha,Karuppu Vellai,https://youtu.be/4AYAcFcFu84?si=-E4uGnGGXAaaYfLI
16,KGF,Dheera Dheera,https://youtu.be/x4NG2X8zhSU?si=t1-vnXjd7kDZPvuk
17,Krishnam Vande Jagadgurum,Jaruguthunnaadi,https://youtu.be/xuXnyTT7cDk?si=dNqmjhRyJzUs2SNI
18,Leo,Badass�,https://youtu.be/ZdMZ40GSVmc?si=g49Anhm2p59lms2x
19,Leo,Bloody Sweet,https://youtu.be/qN3wfuPYTI4?si=kfK90UWk47Pj2OQg
20,Narappa,Rage of Narappa,https://youtu.be/qrF_Er_OqDI?si=aQVFQbla30cUIwJt
21,Premam,Kalippu,https://youtu.be/PeUjir1kMFM?si=6kIhb8edaUkCukbE
22,Raktha Charitra,Dorikithe Chastavu,https://youtu.be/aGARltE74cE?si=1borBEcKe0_baWTM
23,Rowdy,Adhiraa Seema lekka,https://youtu.be/RzuFzQd38zI?si=mT1fH5IK7Dvnbybk
24,RRR,Komuram Bheemudo,https://youtu.be/2VmgpHUld8o?si=0-qSn_UpCWKOKkRL
25,Sardaar Gabbar Singh,Aadevadanna Eedevadanna,https://youtu.be/RnZimM5Ta84?si=x-Y4mM-9Gq4VhPnm
26,Sultan,Sultan Title Song,https://youtu.be/abiL84EAWSY?si=Nr9_-FQd2u7HEIB9
27,They Call Him OG,Hungry Cheetah,https://youtu.be/t6Yvo3Mg3Qo?si=r5LjD5ZwAZPY8xxs
28,Uri,Challa,https://youtu.be/g62J-8nV5FI?si=x6kd0WCnbDy4edh0
29,Vettaikaaran,Puli Urumudhu,https://youtu.be/e_EQ0_33VxM?si=0X-FY6T0E8F4L7cH
30,Vikram,Once Upon A Time,https://youtu.be/aoi11BdfpoM?si=UZmbVkytuPg6SWoY
