Artist Name,Song Name,Sum Lyrics
Ed Sheeran,We As Americans,There's an intruder in my house He cut my phone line: can't dial out (Shit!) I scream for police but I doubt They're gonna hear me when I shout  A couple of cocktails'll send me to jail There's a couple of cops hot on my trail but this time When I get pulled over there's a Doberman Pinscher And a pit bull in the seat these pigs'll get bit. We are Samaritans what do we get us in? We better check ourselves look at how shit has been Take a look where you live this is America and we are Americans.
Ed Sheeran,Bitch Please II,Snoop Dogg and D.R.E. and Shady with Doggy from Long Beach (Westside) Came a long way to makin' these songs play It'll be a wrong move to stare at me the wrong way I got a long Uz' and I carry it all day Sometimes it's like a nightmare just bein' Andre But I…
Ed Sheeran,White America,Shady: I never would've dreamed in a million years I'd see So many motherfuckin' people who feel like me Who share the same views and the same exact beliefs I'm in trouble with the government I'm lovin' it I shoveled shit all my life And now I'm dumping it on  White America
Ed Sheeran,Role Model,Okay I'm going to attempt to drown myself You can try this at home You can be just like me Mic check one-two we recordin'?  I'm cancerous so when I diss you wouldn't wanna answer this If you responded back with a battle rap you wrote for Canibus I'll strangle you to death then I'll choke you again.
Ed Sheeran,Space Bound,We touch I feel a rush We clutch it isn't much But it's enough to make me wonder what's in store for us It's lust it's torturous You must be a sorceress 'cause you just Did the impossible Gained my trust don't play games it'll be dangerous If you fuck me over 'Cause if I get burnt I'mma show you what it's like to hurt 'Cause I've been treated like dirt before you And love is evol Spell it backwards I'll show you  Nobody knows me I'm cold Walk down this road all alone It's no one's fault but my own It's the path I've chosen to go Frozen as snow I show no emotion whatsoever so Don't ask me why I have no love for these motherfucking ho's Bloodsucking succubuses.
Eminem,Cold Coffee,She's like cold coffee in the morning I'm drunk off last nights whisky and coke She'll make me shiver without warning And make me laugh as if I'm in on the joke  And you can stay with me forever Or you could stay with me for now  Tell me if I'm wrong  Tell me if I'm right Tell me if you need a loving hand To help you fall asleep tonight Tell me if I know Tell me if I do Tell me how to fall in love the way you want me to  I'll wake with coffee in the morning But she prefers two lumps of sugar and tea Outside the day is up and calling But I don't have to be so please go back to sleep  Stay with me forever Or you could stay with me for now  Tell me if I'm wrong Tell me if I'm right Tell me if you need a loving hand To help you fall asleep tonight Tell me if I know Tell me if I do Tell me how to fall in love the way you want me to  'Cause I love the way you wake me up For goodness sake will my love not be enough?  Tell me if I'm wrong Tell me if I'm right Tell me if you need a loving hand  To help you fall asleep tonight Tell me if I know Tell me if I do Tell me how to fall in love the way you want me to  Tell me if I'm wrong Tell me if I'm right Tell me if you need a loving hand To help you fall asleep tonight
Eminem,Fall,You and I Two of a mind This love’s One of a kind  You and I We’re drifting Over the edge  And I will fall for you And I will fall for you If I fall for you Would you fall too?  You and I Learning to speak With kisses on cheeks  You and I We’re lifted Over the edge  And I will fall for you And I will fall for you If I fall for you Would you fall too?  And I will fall for you And I will fall for you And if I fall for you Would you fall too?  Would you fall too? Would you fall too? Would you fall too? Would you fall too?
Eminem,New York,Ooh ooh whoa oh oh oh now now  Five drinks in on Friday night We only came to dry your eyes And get you out of your room  Now this bar has closed its doors I found my hand is holding yours Do you wanna go home so soon?  Or maybe we should take a ride Through the night And sing along to every song That's on the radio In the back of a taxi cab in Brooklyn no no no The sun could rise Burning all the street lamps out at 3 AM So DJ play it again  Until the night turns into morning You'll be in my arms And we'll just keep driving Along the boulevard And if I kissed you darling Please don't be alarmed It's just the start of everything If you want a new love in New York  Yesterday gave me a call Stressing out about it all Said the world is moving too fast  And you don't know where to begin 'Cause you've spent a lifetime fitting in Only to wind up on the other side  By yourself And every day Screaming out To all the people that you used to know From a window that looks upon Manhattan skyline It's just the way that life goes And you hear it in every song you know So DJ play it again  Until the night turns into morning You'll be in my arms And we'll just keep driving Along the boulevard And if I kissed you darling Please don't be alarmed It's just the start of everything If you want a new life in New York  And every song that plays Is just like the day you had And it's okay to cry But I'm saying maybe that's a waste of water You know I'm here for you In the back of the taxi cab tonight in New York  It's just reached the morning And you're still in my arms And we've stopped driving Down the boulevard And I just kissed you darling I hope you weren't alarmed It's just the start of everything That you want: a new love in New York  A new life in New York
Eminem,Fire Alarms,The rain wont stop falling It's harder than before This car keeps on stalling Pedal to the floor  What I need to know Is if you love me and I Really need to know Is if you want me when you call If you want me when you call  We were young and we were foolish School books in our arms Dodging homework dodging classes To set off fire alarms  And what I need to know Is if you love me and I Really need to know If you need me when you call If you want me when you call  We are waving our lives away We are waving our lives away We are waving our lives away We are waving our lives away  We are waving (and what I need to know) We are waving (is if you love me and I) We are waving (really need to know) We are waving (if you need me when you call) We are waving (what I need to know) We are waving (is if you love me and I) We are waving (really need to know) We are waving (if you need me when you call)  What I need to know Is if you love me and I Really need to know If you need me when you call If you want me when you call
Eminem,Dive,Maybe I came on too strong Maybe I waited too long Maybe I played my cards wrong Oh just a little bit wrong Baby I apologise for it  I could fall or I could fly Here in your aeroplane And I could live I could die Hanging on the words you say I've been known to give my all And jumping in harder than 10000 rocks on the lake  So don't call me baby Unless you mean it And don't tell me you need me If you don't believe it So let me know the truth Before I dive right into you  You're a mystery I have travelled the world And there's no other girl like you no one What's your history? Do you have a tendency to lead some people on? Cause I heard you do  I could fall or I could fly Here in your aeroplane And I could live I could die Hanging on the words you say And I've been known to give my all And lie awake every day Don't know how much I can take  So don't call me baby Unless you mean it And don't tell me you need me If you don't believe it So let me know the truth Before I dive right into you  I could fall or I could fly Here in your aeroplane I could live I could die Hanging on the words you say I've been known to give my all Sitting back looking at Every mess that I made  So don't call me baby Unless you mean it And don't tell me you need me If you don't believe it let me know the truth Before I dive right into you Before I dive right into you Before I dive right into you
