,Name,Album,Link
1,SaarangaDariya,Love Story,https://youtu.be/h9Am4CYaLng?feature=shared
2,Ramuloo Raamulaa,Ala VaikuntaPuramlo,https://youtu.be/Bg8Yb9zGYyA?feature=shared
3,Samajavaragamana,Ala VaikuntaPuramlo,https://youtu.be/OCg6BWlAXSw?feature=shared
4,Inkem Inkem,Geeta Govindam,https://youtu.be/LPeZOE8ZIHI?feature=shared
5,Yenti Yenti,Geeta Govindam,https://youtu.be/LOZNKZfiFUw?feature=shared
6,Maate Vinaduga,Taaxiwala,https://youtu.be/kca0cG9fiQw?feature=shared
7,Naatu Naatu,RRR,https://youtu.be/OsU0CGZoV8E?feature=shared
8,Badtameez Dil,Yeh Jawani Hai Deewani,https://youtu.be/II2EO3Nw4m0?feature=shared
9,Balam Pichkari,Yeh Jawani Hai Deewani,https://youtu.be/0WtRNGubWGA?feature=shared
10,Kaala Chashma,Baar Baar Dekho,https://youtu.be/k4yXQkG2s1E?feature=shared
11,Gaalan Goodiyan,Dil Dhadakne,https://youtu.be/Jo-JPpvhxsg?feature=shared
12,Kashmir Main Tu Kanyakumari,Chennai Express,https://youtu.be/dodDteh-m3Q?feature=shared
13,Apna Bana Le,Bhediya,https://youtu.be/DUJw9x5vsg4?feature=shared
14,Kesariya,Bramhastra,https://youtu.be/t-3-w5F3IiQ?feature=shared
15,Mast Magan,2 States,https://youtu.be/xitd9mEZIHk?feature=shared
16,Behiti Hawa sa Tha Woh,3 Idiots,https://youtu.be/ewvddSUEONQ?feature=shared
17,Aal izz Well,3 Idiots,https://youtu.be/7PzwOiW8-n0?feature=shared
18,Kabhi Kabhi Aditi,Jaane Tu Ya Jaane Na,https://youtu.be/AX7t8ZwroHQ?feature=shared
19,Ilahi,Yeh Jawani Hai Deewani,https://youtu.be/fdubeMFwuGs?feature=shared
20,Chammak Challo,Ra One,https://youtu.be/oAVhUAaVCVQ?feature=shared
21,Chand Sifarish,Fanaa,https://youtu.be/zWEOx7TSM6I?feature=shared
22,Whistle Podu,Greatest Of All Time,https://youtu.be/5GSt99nxiJQ?feature=shared
23,Ranjithame,Varisu,https://youtu.be/unQlCp-lL6I?feature=shared
24,Tum Tum,Enemy,https://youtu.be/tYSrY4iPX6w?feature=shared
25,Thaai Kelavi,Thiruchitrambalam,https://youtu.be/7CajfS_iVQM?feature=shared
26,Megham Karukatha,Thiruchitrambalam,https://youtu.be/cEWwJxEq9Lg?feature=shared
27,Single Pasanaga,Natpe Thunai,https://youtu.be/ybxt5dBVg5w?feature=shared
28,Jalabulajangu,Don,https://youtu.be/6KzeuDstzOY?feature=shared
29,Naa Ready,LEO,https://youtu.be/3wDiqlTNlfQ?feature=shared
30,Vaathi Coming,Master,https://youtu.be/fRD_3vJagxk?feature=shared
