Artist Name,Song Name,Sum Lyrics
Ed Sheeran,Beautiful,Eminem's new single Rock Therapy is out now. The rapper has been struggling with depression. He says he's been too long on his own and needs a new outlet. The song is about reaching out to people who are in similar situations.
Ed Sheeran,When I'm Gone,When I'm gone just carry on don't mourn I keep having this dream I'm pushin' Hailie on the swing Sixty thousand people all jumping out their seat Put it to my brain and scream it The cockens my life
Ed Sheeran,When The Music Stops,Eminem: 'If I were to die murdered in cold blood tomorrow would you feel sorrow or show love? Or would it matter? Could never be the lead-off batter If there ain't shit for me to feed off I'm see-saw battlin' There's too much on my plate I done came way too far in this game to turn and walk away And not say what I got to say'
Eminem,Be Like You,One two three  Unhappy days That left us on the floor And you squeeze me Till you're not feeling sure Everything will brighten up if we go to Brighton I'll Take you along the pier Everything will lighten up and if you feel too frightened I'll Make things disappear dear  Darling don't be nervous I'll understand if you let me go I did this on purpose Now 'cause when I'm missing you  I'll stop eating food and I'll squeeze into a dress So I can be like you and then I'll see your bitterness And why you're leaving too maybe I'll put you to a test And say that I love you I think that I love you  Sunny days That left my skin dark red And you breathe me Till these thoughts leave my head If it gets too complicated I'll give up and be frustrated Can you see what's wrong? If you feel like you've been jaded and this love's too overrated See what's going on  And darling don't be nervous I'll understand if you let me go I did this on purpose Now 'cause when I'm missing you  I'll stop eating food and I'll squeeze into a dress So I can be like you and then I'll see your bitterness And why you're leaving too maybe I'll put you to a test And say that I love you I think that I love you  Take me back to live at home Take me back to Albert Road  'Cause when I'm missing you I'll stop eating food and I'll squeeze into your dress So I can feel like you and then I'll see your bitterness And why you left too I thought I'd put you to a test And say that I love you I think that I love you And I'll stop eating food and I'll squeeze into your dress So I can feel like you and then I'll see your bitterness And why you left me too I thought I'd put you to a test And say that I love you now it seems you loved me too
Eminem,Bibia Be Ye Ye,Bibia Be Ye Ye (everything will be alright) I remember less and less and mostly things that I regret In my phone are several texts from girls I've never met And in the pocket of my jeans are only coins and broken dreams My heart is breaking at the seams And I'm coming apart now.
Eminem,Save Myself,I gave all my oxygen to people that could breathe I gave away my money and now we don't even speak I drove miles and miles but would you do the same for me Oh honestly?  Offered up my shoulder just for you to cry upon Gave you constant shelter and a bed to keep you warm They gave me the heartache and in return I gave a song It goes on and on  Life can get you down so I just numb the way it feels I drown it with a drink and out of date prescription pills And all the ones that love me they just left me on the shelf no farewell So before I save someone else I've got to save myself  I gave you all my energy and I took away your pain Cause human beings are destined to radiate or drain What line do we stand upon cause from here it looks the same? And only scars remain  Life can get you down so I just numb the way it feels I drown it with a drink and out of date prescription pills And all the ones that love me they just left me on the shelf no farewell So before I save someone else I've got to save myself  But if I don't then I'll go back to where I'm rescuing a stranger Just because they needed saving just like that Oh I'm here again between the devil and the danger But I guess it's just my nature My dad was wrong cause I'm not like my mum Cause she'd just smile and I'm complaining in a song but it helps So before I save someone else I've got to save myself  Life can get you down so I just numb the way it feels Or drown it with a drink and out of date prescription pills And all the ones that love me they just left me on the shelf no farewell So before I save someone else I've got to save myself And before I blame someone else I've got to save myself And before I love someone else I've got to love myself
Eminem,Goodbye To You,I owe my life to you. I was just too young to go on with it There ain't a big enough reason Before I sell out my fam I'll be giving up breathing I'll never get enough I'll see you when I see you but I miss you
Eminem,Photograph,Loving can hurt Loving can hurt sometimes But it's the only thing that I know When it gets hard You know it can get hard sometimes It is the only thing that makes us feel alive  We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Hearts are never broken Times forever frozen still  So you can keep me Inside the pocket Of your ripped jeans Holding me closer 'Til our eyes meet You won't ever be alone Wait for me to come home  Loving can heal Loving can mend your soul And it's the only thing that I know (know) I swear it will get easier Remember that with every piece of ya And it's the only thing we take with us when we die  We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Hearts were never broken Times forever frozen still  So you can keep me Inside the pocket Of your ripped jeans Holding me closer 'Til our eyes meet You won't ever be alone  And if you hurt me That's OK baby only words bleed Inside these pages you just hold me And I won't ever let you go  Wait for me to come home Wait for me to come home Wait for me to come home Wait for me to come home  Oh you can fit me Inside the necklace you got when you were sixteen Next to your heartbeat Where I should be Keep it deep within your soul  And if you hurt me Well that's OK baby only words bleed Inside these pages you just hold me And I won't ever let you go  When I'm away I will remember how you kissed me Under the lamppost Back on 6th street Hearing you whisper through the phone Wait for me to come home
Eminem,Sing,I want you to be mine lady To hold your body close Take another step into the no-man's land For the longest time lady  I need you darling Come on set the tone If you feel you're falling Won't you let me know?
Eminem,Castle On The Hill,When I was six years old I broke my leg I was running from my brother and his friends And tasted the sweet perfume of the mountain grass I rolled down  I was younger then Take me back to when  I found my heart and broke it here Made friends and lost them through the years And I've not seen the roaring fields in so long I know I've grown But I can't wait to go home  I'm on my way Driving at 90 down those country lanes Singing to Tiny Dancer And I miss the way You make me feel And it's real When we watched the sunset over the castle on the hill  Fifteen years old and smoking hand-rolled cigarettes Running from the law through the backfields and getting drunk with my friends Had my first kiss on a Friday night I don't reckon that I did it right  I was younger then Take me back to when  We found weekend jobs when we got paid We'd buy cheap spirits and drink them straight Me and my friends have not thrown up in so long Oh how we've grown But I can't wait to go home  I'm on my way Driving at 90 down those country lanes Singing to Tiny Dancer And I miss the way You make me feel And it's real When we watched the sunset over the castle on the hill Over the castle on the hill Over the castle on the hill  One friend left to sell clothes One works down by the coast One had two kids but lives alone One's brother overdosed One's already on his second wife One's just barely getting by But these people raised me And I can't wait to go home  And I'm on my way I still remember these old country lanes When we did not know the answers And I miss the way You make me feel And it's real When we watched the sunset over the castle on the hill Over the castle on the hill Over the castle on the hill
